Length;Dataset Type;Algorithm;Execution Time;result
1000000;OrderedInverse;BubbleSort;0.0040013790130615234;
1000000;OrderedInverse;HeapSort;0.0039997100830078125;
1000000;OrderedInverse;InsertionSort;0.003031492233276367;
1000000;OrderedInverse;QuickSort;0.003999233245849609;
1000000;OrderedInverse;MergeSort;0.002716541290283203;
1000000;OrderedInverse;SelectionSort;0.01100015640258789;
1000000;AlmostOrdered;BubbleSort;0.0029990673065185547;
1000000;AlmostOrdered;HeapSort;0.003001689910888672;
1000000;AlmostOrdered;InsertionSort;0.003000497817993164;
1000000;AlmostOrdered;QuickSort;0.004000425338745117;
1000000;AlmostOrdered;MergeSort;0.003999233245849609;
1000000;AlmostOrdered;SelectionSort;0.009006500244140625;
1000000;Random;BubbleSort;0.003000020980834961;
1000000;Random;HeapSort;0.002999544143676758;
1000000;Random;InsertionSort;0.00400090217590332;
1000000;Random;QuickSort;0.003000020980834961;
1000000;Random;MergeSort;0.003657102584838867;
1000000;Random;SelectionSort;0.00800013542175293;
